"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"328","01-14T16:00:00",131,15.9,38.8,38.8,8
"329","01-14T17:00:00",113,15.5,35.2,35.2,7
"330","01-14T18:00:00",111,15.1,32.4,32.4,7.1
"331","01-14T19:00:00",133,15,30.5,30.5,7.1
"332","01-14T20:00:00",134,15,29.3,29.3,7.2
"333","01-14T21:00:00",151,14.8,28.5,28.5,7.4
"334","01-14T22:00:00",138,14.5,27.7,27.7,7.2
"335","01-14T23:00:00",138,14.4,27.3,27.3,7.3
"336","01-15T00:00:00",155,14.1,27,27,7.4
"337","01-15T01:00:00",139,13.8,26.6,26.6,7.3
"338","01-15T02:00:00",115,13.6,26.5,26.5,7
"339","01-15T03:00:00",128,13.3,26.1,26.1,7
"340","01-15T04:00:00",137,13,25.7,25.7,7.2
"341","01-15T05:00:00",121,12.9,25.4,25.4,7.2
"342","01-15T06:00:00",126,12.6,25.3,25.3,7.2
"343","01-15T07:00:00",107,12.5,25.3,25.3,7.2
"344","01-15T08:00:00",103,12.8,26.1,26.1,7.4
"345","01-15T09:00:00",110,14.2,30.2,30.2,7.7
"346","01-15T10:00:00",106,14.9,34.3,34.3,8.3
"347","01-15T11:00:00",118,15.1,37.4,37.4,8.1
"348","01-15T12:00:00",122,15.1,39.3,39.3,8
"349","01-15T13:00:00",113,15.1,40.6,40.6,8.5
"350","01-15T14:00:00",124,15.2,41.1,41.1,8.8
"351","01-15T15:00:00",118,15.4,40.4,40.4,8.8
"352","01-15T16:00:00",126,15.9,38.8,38.8,8
"353","01-15T17:00:00",109,15.6,35.2,35.2,7
"354","01-15T18:00:00",106,15.1,32.3,32.3,7
"355","01-15T19:00:00",126,14.9,30.4,30.4,7
"356","01-15T20:00:00",125,14.9,29.1,29.1,7.1
"357","01-15T21:00:00",144,14.7,28.4,28.4,7.5
"358","01-15T22:00:00",136,14.5,27.6,27.6,7.3
"359","01-15T23:00:00",134,14.3,27.2,27.2,7.3
"360","01-16T00:00:00",150,14.1,26.9,26.9,7.4
"361","01-16T01:00:00",130,13.8,26.6,26.6,7.4
"362","01-16T02:00:00",118,13.5,26.4,26.4,7.2
"363","01-16T03:00:00",127,13.2,26.1,26.1,7.1
"364","01-16T04:00:00",134,12.9,25.7,25.7,7.2
"365","01-16T05:00:00",121,12.7,25.4,25.4,7.2
"366","01-16T06:00:00",125,12.5,25.2,25.2,7.2
"367","01-16T07:00:00",109,12.3,25.2,25.2,7.2
"368","01-16T08:00:00",95,12.7,26,26,7.5
"369","01-16T09:00:00",98,14.2,30.2,30.2,7.7
"370","01-16T10:00:00",94,14.9,34.3,34.3,8.3
"371","01-16T11:00:00",111,15.1,37.2,37.2,8
"372","01-16T12:00:00",113,15,39.3,39.3,7.8
"373","01-16T13:00:00",110,15,40.6,40.6,8.4
"374","01-16T14:00:00",133,15.2,41,41,8.7
"375","01-16T15:00:00",120,15.5,40.4,40.4,8.8
"376","01-16T16:00:00",121,15.9,38.7,38.7,8
"377","01-16T17:00:00",101,15.5,35.2,35.2,7
"378","01-16T18:00:00",97,15,32.3,32.3,7
"379","01-16T19:00:00",122,14.8,30.2,30.2,7
"380","01-16T20:00:00",114,14.9,29,29,7.1
"381","01-16T21:00:00",140,14.7,28.2,28.2,7.5
"382","01-16T22:00:00",133,14.5,27.5,27.5,7.3
"383","01-16T23:00:00",133,14.3,27.1,27.1,7.4
"384","01-17T00:00:00",145,14,26.8,26.8,7.4
"385","01-17T01:00:00",127,13.7,26.5,26.5,7.4
"386","01-17T02:00:00",115,13.4,26.3,26.3,7.1
"387","01-17T03:00:00",120,13.1,26,26,7.1
"388","01-17T04:00:00",134,12.9,25.6,25.6,7.1
"389","01-17T05:00:00",120,12.6,25.3,25.3,7.2
"390","01-17T06:00:00",127,12.3,25.2,25.2,7.2
"391","01-17T07:00:00",106,12.1,25.1,25.1,7.2
"392","01-17T08:00:00",99,12.5,26,26,7.4
