"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"362","01-16T02:00:00",594,17.3,24.5,24.4,7.4
"363","01-16T03:00:00",596,17.2,24.6,24.5,7.4
"364","01-16T04:00:00",605,17.2,24.5,24.4,7.1
"365","01-16T05:00:00",NA,17.1,24.4,24.3,7.2
"366","01-16T06:00:00",NA,17.2,24.4,24.3,7.1
"367","01-16T07:00:00",NA,16.9,24.4,24.3,7.3
"368","01-16T08:00:00",NA,17.1,24.4,24.3,7.1
"369","01-16T09:00:00",607,17.1,24.5,24.4,7.2
"370","01-16T10:00:00",615,17,24.5,24.4,7.4
"371","01-16T11:00:00",627,17.1,24.7,24.6,7.5
"372","01-16T12:00:00",616,17.2,25.2,25.1,7.2
"373","01-16T13:00:00",626,17.5,25.5,25.5,7.4
"374","01-16T14:00:00",NA,17.7,25.7,25.6,7.5
"375","01-16T15:00:00",628,17.6,25.5,25.5,7.5
"376","01-16T16:00:00",615,17.5,25.2,25.2,7.6
"377","01-16T17:00:00",NA,17.4,25,25,7.6
"378","01-16T18:00:00",614,17.4,25,24.9,7.6
"379","01-16T19:00:00",NA,17.4,24.8,24.7,7.6
"380","01-16T20:00:00",573,17.3,24.7,24.6,7.5
"381","01-16T21:00:00",583,17.4,24.8,24.7,7.7
"382","01-16T22:00:00",591,17.3,24.7,24.6,7.6
"383","01-16T23:00:00",NA,17.3,24.5,24.4,7.3
"384","01-17T00:00:00",567,17.3,24.5,24.4,7.2
"385","01-17T01:00:00",582,17.4,24.4,24.3,7.3
"386","01-17T02:00:00",593,17.3,24.4,24.3,7.4
"387","01-17T03:00:00",598,17.2,24.6,24.5,7.4
"388","01-17T04:00:00",597,17.2,24.5,24.4,7
"389","01-17T05:00:00",NA,17.1,24.4,24.3,7.1
"390","01-17T06:00:00",586,17.2,24.3,24.3,7
"391","01-17T07:00:00",566,16.9,24.3,24.3,7.3
"392","01-17T08:00:00",NA,17,24.3,24.3,7.1
"393","01-17T09:00:00",602,17,24.4,24.4,7.1
"394","01-17T10:00:00",608,17,24.4,24.4,7.4
"395","01-17T11:00:00",615,17,24.7,24.6,7.5
"396","01-17T12:00:00",607,17.2,25.2,25.1,7.2
"397","01-17T13:00:00",618,17.4,25.5,25.5,7.3
"398","01-17T14:00:00",649,17.6,25.7,25.6,7.4
"399","01-17T15:00:00",628,17.6,25.6,25.5,7.5
"400","01-17T16:00:00",620,17.4,25.2,25.2,7.6
"401","01-17T17:00:00",634,17.3,25,25,7.5
"402","01-17T18:00:00",616,17.3,24.9,24.8,7.5
"403","01-17T19:00:00",600,17.2,24.8,24.7,7.6
"404","01-17T20:00:00",578,17.1,24.7,24.6,7.5
"405","01-17T21:00:00",585,17.2,24.7,24.6,7.7
"406","01-17T22:00:00",586,17.1,24.6,24.5,7.5
"407","01-17T23:00:00",NA,17,24.4,24.3,7.4
"408","01-18T00:00:00",561,17,24.4,24.3,7.3
"409","01-18T01:00:00",571,17.1,24.3,24.2,7.3
"410","01-18T02:00:00",582,17,24.3,24.2,7.4
"411","01-18T03:00:00",590,16.9,24.4,24.3,7.5
"412","01-18T04:00:00",587,16.8,24.3,24.2,7.2
"413","01-18T05:00:00",583,16.8,24.2,24.1,7.2
"414","01-18T06:00:00",577,16.9,24.2,24.1,7
"415","01-18T07:00:00",557,16.6,24.1,24,7.1
"416","01-18T08:00:00",547,16.8,24.2,24.1,7.1
"417","01-18T09:00:00",589,16.7,24.2,24.2,7.2
"418","01-18T10:00:00",590,16.7,24.2,24.1,7.4
"419","01-18T11:00:00",603,16.7,24.5,24.4,7.5
"420","01-18T12:00:00",606,17,25.1,25,7.3
"421","01-18T13:00:00",616,17.1,25.4,25.4,7.4
"422","01-18T14:00:00",642,17.3,25.6,25.6,7.5
"423","01-18T15:00:00",629,17.3,25.5,25.4,7.5
"424","01-18T16:00:00",619,17.2,25.1,25,7.7
"425","01-18T17:00:00",632,17.1,24.8,24.8,7.6
"426","01-18T18:00:00",612,17.1,24.7,24.7,7.5
"427","01-18T19:00:00",590,16.9,24.5,24.4,7.5
"428","01-18T20:00:00",573,16.8,24.4,24.3,7.4
"429","01-18T21:00:00",587,17,24.4,24.4,7.6
"430","01-18T22:00:00",NA,16.8,24.3,24.2,7.5
"431","01-18T23:00:00",586,16.7,24.1,24.1,7.4
"432","01-19T00:00:00",552,16.7,24.1,24,7.3
"433","01-19T01:00:00",562,16.8,24,23.9,7.3
"434","01-19T02:00:00",569,16.8,24,23.9,7.4
"435","01-19T03:00:00",575,16.6,24.1,24,7.6
"436","01-19T04:00:00",579,16.5,24.1,24,7.3
"437","01-19T05:00:00",575,16.5,24,23.9,7.3
"438","01-19T06:00:00",568,16.5,23.9,23.8,7
