"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"777","02-02T09:00:00",525,16.3,23.1,23.1,10.9
"778","02-02T10:00:00",492,17,25,25,11.3
"779","02-02T11:00:00",481,17.4,26.6,26.6,11.9
"780","02-02T12:00:00",501,17.9,27.9,27.9,12.1
"781","02-02T13:00:00",489,18.3,28.9,28.9,12.4
"782","02-02T14:00:00",485,18.5,29.4,29.4,12.4
"783","02-02T15:00:00",492,18.6,29.4,29.4,12.4
"784","02-02T16:00:00",493,18.6,28.9,28.9,12.2
"785","02-02T17:00:00",493,18.6,27.6,27.6,11.7
"786","02-02T18:00:00",518,18.5,26.6,26.6,11.1
"787","02-02T19:00:00",529,18.4,25.8,25.8,10.8
"788","02-02T20:00:00",528,18.2,25.2,25.2,10.8
"789","02-02T21:00:00",527,17.9,24.7,24.7,10.8
"790","02-02T22:00:00",524,17.7,24.2,24.2,10.6
"791","02-02T23:00:00",524,17.4,23.7,23.7,10.5
"792","02-03T00:00:00",508,16.9,23.1,23.1,10.2
"793","02-03T01:00:00",498,16.7,22.7,22.7,10.1
"794","02-03T02:00:00",502,16.5,22.4,22.4,10
"795","02-03T03:00:00",498,16.3,22,22,9.9
"796","02-03T04:00:00",487,16.1,21.7,21.7,10
"797","02-03T05:00:00",499,16,21.5,21.5,9.8
"798","02-03T06:00:00",513,16,21.5,21.5,10
"799","02-03T07:00:00",522,15.8,21.3,21.3,10
"800","02-03T08:00:00",528,16.1,21.9,21.9,10.3
"801","02-03T09:00:00",527,16.7,23.5,23.5,11
"802","02-03T10:00:00",493,17.3,25.3,25.3,11.5
"803","02-03T11:00:00",475,17.7,26.9,26.9,11.9
"804","02-03T12:00:00",495,18.1,28.2,28.2,12.2
"805","02-03T13:00:00",497,18.5,29.1,29.1,12.3
"806","02-03T14:00:00",492,18.7,29.6,29.6,12.4
"807","02-03T15:00:00",501,18.8,29.5,29.5,12.4
"808","02-03T16:00:00",506,18.7,29,29,12.1
"809","02-03T17:00:00",508,18.7,27.8,27.8,11.7
"810","02-03T18:00:00",523,18.6,26.7,26.7,11
"811","02-03T19:00:00",526,18.5,25.8,25.8,10.8
"812","02-03T20:00:00",526,18.3,25.3,25.3,10.8
"813","02-03T21:00:00",532,18,24.7,24.7,10.7
"814","02-03T22:00:00",528,17.8,24.3,24.3,10.6
"815","02-03T23:00:00",526,17.5,23.8,23.8,10.4
"816","02-04T00:00:00",515,17,23.2,23.2,10.1
"817","02-04T01:00:00",501,16.8,22.8,22.8,10
"818","02-04T02:00:00",505,16.7,22.5,22.5,9.9
"819","02-04T03:00:00",501,16.5,22,22,9.8
"820","02-04T04:00:00",506,16.2,21.7,21.7,9.9
"821","02-04T05:00:00",513,16.1,21.6,21.6,9.7
"822","02-04T06:00:00",525,16,21.5,21.5,10
"823","02-04T07:00:00",538,15.9,21.3,21.3,10
"824","02-04T08:00:00",533,16.2,21.9,21.9,10.3
"825","02-04T09:00:00",523,16.7,23.5,23.5,10.9
"826","02-04T10:00:00",497,17.3,25.3,25.3,11.5
"827","02-04T11:00:00",486,17.7,26.9,26.9,12
"828","02-04T12:00:00",505,18.1,28.2,28.2,12.2
"829","02-04T13:00:00",505,18.5,29.1,29.1,12.3
"830","02-04T14:00:00",497,18.6,29.6,29.6,12.4
"831","02-04T15:00:00",502,18.7,29.5,29.5,12.5
"832","02-04T16:00:00",498,18.7,29,29,12.2
"833","02-04T17:00:00",507,18.7,27.8,27.8,11.8
"834","02-04T18:00:00",518,18.7,26.7,26.7,11.2
"835","02-04T19:00:00",524,18.5,25.8,25.8,11
"836","02-04T20:00:00",519,18.3,25.3,25.3,10.9
"837","02-04T21:00:00",521,17.9,24.7,24.7,10.8
"838","02-04T22:00:00",525,17.8,24.2,24.2,10.7
"839","02-04T23:00:00",524,17.5,23.8,23.8,10.5
"840","02-05T00:00:00",511,17,23.2,23.2,10.2
"841","02-05T01:00:00",502,16.8,22.8,22.8,10.1
"842","02-05T02:00:00",506,16.7,22.4,22.4,9.9
"843","02-05T03:00:00",502,16.4,22,22,9.8
"844","02-05T04:00:00",498,16.2,21.7,21.7,9.9
"845","02-05T05:00:00",509,16.1,21.5,21.5,9.7
"846","02-05T06:00:00",522,16,21.5,21.5,10
"847","02-05T07:00:00",524,15.9,21.3,21.3,10
"848","02-05T08:00:00",521,16.2,21.9,21.9,10.3
"849","02-05T09:00:00",520,16.8,23.5,23.5,11
