"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"2606","04-19T14:00:00",280,58.4,79.3,78.4,12.1
"2607","04-19T15:00:00",271,58.4,79.5,78.6,12.1
"2608","04-19T16:00:00",275,58.3,78.9,78,12.2
"2609","04-19T17:00:00",259,58.2,77.8,77.1,12.2
"2610","04-19T18:00:00",273,58.7,75.8,75.3,11.4
"2611","04-19T19:00:00",246,59.5,72.1,72,9.9
"2612","04-19T20:00:00",252,60,69.7,69.6,8.6
"2613","04-19T21:00:00",251,60.1,68.2,68.2,7.8
"2614","04-19T22:00:00",303,60.1,67.2,67.2,7.3
"2615","04-19T23:00:00",292,60.1,66.2,66.2,6.7
"2616","04-20T00:00:00",314,60.1,65.4,65.4,6.4
"2617","04-20T01:00:00",335,59.8,64.6,64.6,6.2
"2618","04-20T02:00:00",333,59.6,63.9,63.9,5.9
"2619","04-20T03:00:00",374,59.6,63.6,63.6,5.7
"2620","04-20T04:00:00",387,59.3,63,63,5.6
"2621","04-20T05:00:00",382,59.1,62.7,62.7,5.5
"2622","04-20T06:00:00",448,59,62.5,62.5,5.8
"2623","04-20T07:00:00",416,59.9,64.1,64.1,6.8
"2624","04-20T08:00:00",435,60.6,67.4,67.4,8.6
"2625","04-20T09:00:00",365,60.3,70.7,70.6,10
"2626","04-20T10:00:00",353,59.6,73.6,73.3,10.7
"2627","04-20T11:00:00",325,59.1,76,75.4,10.9
"2628","04-20T12:00:00",328,58.9,77.7,76.9,11.4
"2629","04-20T13:00:00",291,58.8,79,78,11.6
"2630","04-20T14:00:00",287,58.8,79.7,78.6,12
"2631","04-20T15:00:00",269,58.8,79.8,78.9,12.1
"2632","04-20T16:00:00",277,58.7,79.2,78.3,12.2
"2633","04-20T17:00:00",266,58.6,78.1,77.3,12.1
"2634","04-20T18:00:00",279,59,76.1,75.5,11.3
"2635","04-20T19:00:00",250,59.8,72.4,72.3,9.9
"2636","04-20T20:00:00",258,60.2,70,69.9,8.6
"2637","04-20T21:00:00",256,60.4,68.5,68.5,7.8
"2638","04-20T22:00:00",301,60.4,67.4,67.4,7.3
"2639","04-20T23:00:00",292,60.4,66.5,66.5,6.7
"2640","04-21T00:00:00",324,60.3,65.7,65.7,6.5
"2641","04-21T01:00:00",337,60.1,64.9,64.9,6.3
"2642","04-21T02:00:00",335,59.8,64.2,64.2,5.9
"2643","04-21T03:00:00",382,59.8,63.8,63.8,5.7
"2644","04-21T04:00:00",379,59.5,63.3,63.3,5.6
"2645","04-21T05:00:00",374,59.4,63,63,5.5
"2646","04-21T06:00:00",440,59.2,62.7,62.7,5.8
"2647","04-21T07:00:00",406,60.1,64.4,64.4,6.9
"2648","04-21T08:00:00",433,60.8,67.7,67.7,8.7
"2649","04-21T09:00:00",351,60.5,71,70.9,10
"2650","04-21T10:00:00",351,59.8,74,73.6,10.7
"2651","04-21T11:00:00",323,59.3,76.4,75.7,10.9
"2652","04-21T12:00:00",323,59,78.1,77.2,11.4
"2653","04-21T13:00:00",292,59,79.3,78.3,11.6
"2654","04-21T14:00:00",284,59,80,78.9,12
"2655","04-21T15:00:00",267,59,80.2,79.1,12.1
"2656","04-21T16:00:00",274,58.9,79.5,78.6,12.2
"2657","04-21T17:00:00",259,58.9,78.4,77.6,12.1
"2658","04-21T18:00:00",271,59.3,76.4,75.8,11.4
"2659","04-21T19:00:00",241,60.1,72.7,72.5,9.9
"2660","04-21T20:00:00",261,60.5,70.3,70.2,8.7
"2661","04-21T21:00:00",267,60.7,68.8,68.8,7.9
"2662","04-21T22:00:00",313,60.7,67.7,67.7,7.3
"2663","04-21T23:00:00",294,60.7,66.8,66.8,6.8
"2664","04-22T00:00:00",320,60.6,66,66,6.4
"2665","04-22T01:00:00",333,60.5,65.2,65.2,6.3
"2666","04-22T02:00:00",330,60.3,64.5,64.5,5.9
"2667","04-22T03:00:00",384,60.2,64.1,64.1,5.7
"2668","04-22T04:00:00",381,59.9,63.6,63.6,5.7
"2669","04-22T05:00:00",379,59.8,63.4,63.4,5.5
"2670","04-22T06:00:00",443,59.7,63.1,63.1,5.9
"2671","04-22T07:00:00",412,60.6,64.8,64.8,6.9
