"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"5556","08-20T12:00:00",96,47.9,77.7,77.6,9.3
"5557","08-20T13:00:00",104,47.5,78.4,78.3,10.2
"5558","08-20T14:00:00",106,47.4,78.4,78.4,11.1
"5559","08-20T15:00:00",118,47.5,77.8,77.8,11.4
"5560","08-20T16:00:00",172,47.7,76.5,76.5,11.6
"5561","08-20T17:00:00",169,48.3,74.7,74.7,11.3
"5562","08-20T18:00:00",168,49.3,72.1,72.1,10.3
"5563","08-20T19:00:00",225,49.9,68.5,68.5,9.6
"5564","08-20T20:00:00",253,49.9,66.3,66.2,8.6
"5565","08-20T21:00:00",226,50.3,64.7,64.7,7.9
"5566","08-20T22:00:00",225,50.4,63.3,63.3,7.6
"5567","08-20T23:00:00",180,50.1,62.1,62.1,7.3
"5568","08-21T00:00:00",189,49.7,61.2,61.2,7.3
"5569","08-21T01:00:00",203,49.7,60,60,7.1
"5570","08-21T02:00:00",151,49.3,59.1,59.1,7.1
"5571","08-21T03:00:00",159,48.9,58.3,58.3,7.1
"5572","08-21T04:00:00",165,48.4,57.8,57.8,7.1
"5573","08-21T05:00:00",172,48,57.4,57.4,7.1
"5574","08-21T06:00:00",170,48.1,58.2,58.2,6.9
"5575","08-21T07:00:00",161,49.8,63.2,63.2,6.1
"5576","08-21T08:00:00",149,49.6,67.8,67.8,6.1
"5577","08-21T09:00:00",122,49.1,71.2,71.2,6.9
"5578","08-21T10:00:00",115,48.5,74.1,74,7.8
"5579","08-21T11:00:00",118,48.4,76.2,76.1,8.5
"5580","08-21T12:00:00",98,47.7,77.7,77.6,9.5
"5581","08-21T13:00:00",102,47.4,78.4,78.3,10.2
"5582","08-21T14:00:00",104,47.3,78.5,78.4,11.1
"5583","08-21T15:00:00",116,47.4,77.8,77.7,11.5
"5584","08-21T16:00:00",166,47.6,76.4,76.4,11.5
"5585","08-21T17:00:00",163,48.3,74.7,74.6,11.2
"5586","08-21T18:00:00",165,49.3,72,72,10.2
"5587","08-21T19:00:00",217,49.8,68.3,68.3,9.6
"5588","08-21T20:00:00",241,49.8,66.2,66.1,8.6
"5589","08-21T21:00:00",212,50.2,64.6,64.5,7.9
"5590","08-21T22:00:00",209,50.2,63.2,63.2,7.5
"5591","08-21T23:00:00",163,49.9,62,61.9,7.3
"5592","08-22T00:00:00",182,49.6,61,61,7.4
"5593","08-22T01:00:00",192,49.5,59.9,59.9,7.2
"5594","08-22T02:00:00",148,49.1,59,59,7.1
"5595","08-22T03:00:00",153,48.7,58.2,58.2,7.1
"5596","08-22T04:00:00",154,48.2,57.7,57.7,7
"5597","08-22T05:00:00",164,47.8,57.3,57.3,7.1
"5598","08-22T06:00:00",160,47.9,58.1,58.1,6.9
"5599","08-22T07:00:00",145,49.7,63.2,63.2,6.2
"5600","08-22T08:00:00",144,49.5,67.9,67.9,6.2
"5601","08-22T09:00:00",114,49,71.3,71.3,7
"5602","08-22T10:00:00",113,48.5,74.2,74.1,7.9
"5603","08-22T11:00:00",116,48.3,76.3,76.2,8.6
"5604","08-22T12:00:00",98,47.7,77.7,77.7,9.6
"5605","08-22T13:00:00",101,47.3,78.5,78.4,10.2
"5606","08-22T14:00:00",106,47.3,78.5,78.5,11.1
"5607","08-22T15:00:00",113,47.3,77.9,77.8,11.5
"5608","08-22T16:00:00",165,47.6,76.5,76.5,11.4
"5609","08-22T17:00:00",167,48.2,74.7,74.7,11.1
"5610","08-22T18:00:00",169,49.2,72,72,10.2
"5611","08-22T19:00:00",217,49.7,68.3,68.3,9.5
"5612","08-22T20:00:00",242,49.8,66.1,66.1,8.5
"5613","08-22T21:00:00",203,50.2,64.5,64.5,7.7
