"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1845","03-18T21:00:00",143,61,71.3,71.2,9.1
"1846","03-18T22:00:00",128,61.1,70.7,70.6,8.7
"1847","03-18T23:00:00",130,61.1,70,70,8.4
"1848","03-19T00:00:00",144,61.2,69.3,69.3,8.3
"1849","03-19T01:00:00",141,61.1,68.8,68.7,7.9
"1850","03-19T02:00:00",153,61.1,68.2,68.1,7.6
"1851","03-19T03:00:00",164,61.1,67.7,67.7,7.6
"1852","03-19T04:00:00",157,61,67.3,67.2,7.3
"1853","03-19T05:00:00",160,60.8,66.9,66.9,7.2
"1854","03-19T06:00:00",186,60.6,66.7,66.7,7.1
"1855","03-19T07:00:00",149,60.8,66.9,66.9,7.1
"1856","03-19T08:00:00",135,61.2,69.7,69.7,8.8
"1857","03-19T09:00:00",127,61,72.7,72.5,10.9
"1858","03-19T10:00:00",125,60.5,75.2,74.6,12.1
"1859","03-19T11:00:00",118,60.3,77.1,76.2,12.4
"1860","03-19T12:00:00",143,60.2,78.2,77.3,12.8
"1861","03-19T13:00:00",152,60.2,78.8,77.8,13.2
"1862","03-19T14:00:00",135,60,79,78.1,13.3
"1863","03-19T15:00:00",131,59.9,78.8,77.9,13.2
"1864","03-19T16:00:00",132,60,78.1,77.3,13.1
"1865","03-19T17:00:00",129,60.2,77,76.3,12.6
"1866","03-19T18:00:00",122,60.4,75.1,74.8,11.8
"1867","03-19T19:00:00",144,60.7,73.2,73,10.6
"1868","03-19T20:00:00",143,61.1,72.2,72.1,9.7
"1869","03-19T21:00:00",143,61.3,71.5,71.4,9.1
"1870","03-19T22:00:00",128,61.4,70.9,70.8,8.7
"1871","03-19T23:00:00",128,61.4,70.3,70.3,8.5
"1872","03-20T00:00:00",135,61.6,69.6,69.6,8.4
"1873","03-20T01:00:00",136,61.4,69,69,8
"1874","03-20T02:00:00",155,61.4,68.5,68.4,7.6
"1875","03-20T03:00:00",166,61.4,68,67.9,7.7
"1876","03-20T04:00:00",155,61.2,67.5,67.5,7.4
"1877","03-20T05:00:00",153,61.1,67.2,67.1,7.3
"1878","03-20T06:00:00",179,60.9,67,67,7.2
"1879","03-20T07:00:00",150,61,67.2,67.2,7.2
"1880","03-20T08:00:00",128,61.4,70,70,9
"1881","03-20T09:00:00",123,61.2,73,72.7,10.9
"1882","03-20T10:00:00",119,60.8,75.5,74.9,12
"1883","03-20T11:00:00",116,60.6,77.4,76.5,12.4
"1884","03-20T12:00:00",145,60.5,78.5,77.5,12.8
"1885","03-20T13:00:00",149,60.4,79.1,78.1,13.2
"1886","03-20T14:00:00",135,60.3,79.2,78.2,13.4
"1887","03-20T15:00:00",127,60.2,79,78.1,13.2
"1888","03-20T16:00:00",136,60.3,78.3,77.5,13.2
"1889","03-20T17:00:00",136,60.5,77.2,76.5,12.7
"1890","03-20T18:00:00",134,60.7,75.3,74.9,11.8
"1891","03-20T19:00:00",149,60.9,73.4,73.2,10.6
"1892","03-20T20:00:00",148,61.3,72.4,72.3,9.7
"1893","03-20T21:00:00",147,61.6,71.8,71.7,9.2
"1894","03-20T22:00:00",130,61.7,71.1,71.1,8.7
"1895","03-20T23:00:00",128,61.7,70.5,70.5,8.5
"1896","03-21T00:00:00",130,61.9,69.9,69.9,8.4
"1897","03-21T01:00:00",127,61.6,69.3,69.3,8
"1898","03-21T02:00:00",149,61.7,68.8,68.7,7.6
"1899","03-21T03:00:00",161,61.7,68.2,68.2,7.6
"1900","03-21T04:00:00",144,61.5,67.8,67.8,7.4
"1901","03-21T05:00:00",147,61.4,67.5,67.4,7.2
"1902","03-21T06:00:00",172,61.2,67.3,67.3,7.2
"1903","03-21T07:00:00",152,61.3,67.5,67.5,7.3
"1904","03-21T08:00:00",123,61.7,70.4,70.3,9.1
"1905","03-21T09:00:00",121,61.5,73.3,73,11
"1906","03-21T10:00:00",123,61.1,75.9,75.2,12.1
"1907","03-21T11:00:00",116,60.9,77.7,76.8,12.5
"1908","03-21T12:00:00",141,60.8,78.8,77.7,12.8
"1909","03-21T13:00:00",150,60.7,79.4,78.3,13.3
"1910","03-21T14:00:00",128,60.7,79.5,78.5,13.5
"1911","03-21T15:00:00",120,60.5,79.3,78.3,13.3
"1912","03-21T16:00:00",132,60.6,78.7,77.8,13.3
"1913","03-21T17:00:00",134,60.8,77.5,76.8,12.7
"1914","03-21T18:00:00",138,61,75.6,75.2,11.9
"1915","03-21T19:00:00",156,61.2,73.7,73.5,10.7
"1916","03-21T20:00:00",152,61.6,72.7,72.5,9.8
"1917","03-21T21:00:00",154,61.8,72,71.9,9.3
"1918","03-21T22:00:00",137,62,71.4,71.4,8.8
"1919","03-21T23:00:00",134,62,70.8,70.8,8.7
"1920","03-22T00:00:00",135,62.1,70.3,70.2,8.5
"1921","03-22T01:00:00",134,61.8,69.6,69.6,8
"1922","03-22T02:00:00",153,61.9,69,69,7.8
"1923","03-22T03:00:00",157,61.9,68.5,68.5,7.7
"1924","03-22T04:00:00",148,61.8,68.1,68.1,7.4
"1925","03-22T05:00:00",149,61.6,67.8,67.8,7.3
"1926","03-22T06:00:00",166,61.4,67.6,67.6,7.3
"1927","03-22T07:00:00",152,61.6,67.8,67.8,7.4
"1928","03-22T08:00:00",123,61.9,70.7,70.6,9.2
"1929","03-22T09:00:00",118,61.7,73.6,73.3,11.1
"1930","03-22T10:00:00",126,61.3,76.1,75.4,12.1
"1931","03-22T11:00:00",116,61,77.9,76.9,12.5
"1932","03-22T12:00:00",141,61,78.9,77.9,12.9
"1933","03-22T13:00:00",148,60.9,79.5,78.4,13.3
"1934","03-22T14:00:00",126,60.8,79.7,78.6,13.6
"1935","03-22T15:00:00",122,60.7,79.5,78.5,13.4
"1936","03-22T16:00:00",127,60.8,78.9,77.9,13.3
"1937","03-22T17:00:00",131,61,77.7,76.9,12.7
"1938","03-22T18:00:00",136,61.2,75.8,75.4,12
"1939","03-22T19:00:00",154,61.4,73.9,73.7,10.8
"1940","03-22T20:00:00",150,61.8,72.9,72.7,10
"1941","03-22T21:00:00",147,62,72.2,72.1,9.4
"1942","03-22T22:00:00",130,62.2,71.6,71.5,8.9
"1943","03-22T23:00:00",124,62.1,71,71,8.8
"1944","03-23T00:00:00",131,62.4,70.5,70.4,8.6
"1945","03-23T01:00:00",127,62,69.8,69.8,8.1
"1946","03-23T02:00:00",151,62.1,69.2,69.2,7.9
"1947","03-23T03:00:00",148,62,68.7,68.6,7.8
"1948","03-23T04:00:00",139,61.9,68.3,68.2,7.4
"1949","03-23T05:00:00",143,61.8,68,67.9,7.3
"1950","03-23T06:00:00",159,61.6,67.8,67.7,7.3
"1951","03-23T07:00:00",152,61.7,68.1,68.1,7.4
"1952","03-23T08:00:00",126,62.1,71,70.9,9.2
"1953","03-23T09:00:00",123,61.9,73.8,73.5,11.2
"1954","03-23T10:00:00",128,61.5,76.4,75.6,12.2
"1955","03-23T11:00:00",118,61.2,78.1,77.1,12.6
"1956","03-23T12:00:00",143,61.2,79.2,78.1,12.9
"1957","03-23T13:00:00",151,61.2,79.7,78.6,13.3
"1958","03-23T14:00:00",130,61.1,80,78.8,13.6
"1959","03-23T15:00:00",127,61,79.7,78.7,13.4
"1960","03-23T16:00:00",127,61.1,79.1,78.1,13.4
"1961","03-23T17:00:00",127,61.3,77.9,77.1,12.8
"1962","03-23T18:00:00",129,61.4,76,75.5,12
"1963","03-23T19:00:00",149,61.6,74,73.8,10.9
"1964","03-23T20:00:00",148,62.1,73.1,72.9,10
"1965","03-23T21:00:00",140,62.3,72.4,72.3,9.5
"1966","03-23T22:00:00",133,62.4,71.8,71.7,8.9
"1967","03-23T23:00:00",126,62.4,71.2,71.2,8.8
"1968","03-24T00:00:00",135,62.8,70.7,70.7,8.6
"1969","03-24T01:00:00",133,62.3,70,70,8.2
"1970","03-24T02:00:00",162,62.3,69.4,69.4,8
"1971","03-24T03:00:00",143,62.2,68.9,68.9,7.8
"1972","03-24T04:00:00",142,62.1,68.5,68.4,7.5
"1973","03-24T05:00:00",143,62,68.2,68.1,7.4
"1974","03-24T06:00:00",161,61.8,67.9,67.9,7.3
"1975","03-24T07:00:00",147,62,68.3,68.3,7.5
"1976","03-24T08:00:00",115,62.3,71.2,71.1,9.4
