"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1737","03-14T09:00:00",382,26.8,39.6,39.6,13
"1738","03-14T10:00:00",370,26.8,41.4,41.4,13.4
"1739","03-14T11:00:00",358,27.1,42.8,42.8,13.8
"1740","03-14T12:00:00",373,27.1,44,44,14.3
"1741","03-14T13:00:00",364,27.4,44.7,44.7,14.8
"1742","03-14T14:00:00",366,27.5,45.1,45.1,15
"1743","03-14T15:00:00",375,27.5,45.1,45.1,15
"1744","03-14T16:00:00",395,27.4,44.6,44.6,15.4
"1745","03-14T17:00:00",391,27.5,43.5,43.5,15.1
"1746","03-14T18:00:00",383,27.5,42.1,42.1,14.6
"1747","03-14T19:00:00",382,27.6,41.3,41.3,14
"1748","03-14T20:00:00",387,27.8,40.7,40.7,13.5
"1749","03-14T21:00:00",408,27.8,40.1,40.1,13
"1750","03-14T22:00:00",410,27.6,39.4,39.4,12.6
"1751","03-14T23:00:00",416,27.5,38.8,38.8,12.4
"1752","03-15T00:00:00",427,27.5,38.1,38.1,12.1
"1753","03-15T01:00:00",415,27.1,37.7,37.7,11.8
"1754","03-15T02:00:00",400,26.9,37.1,37.1,11.5
"1755","03-15T03:00:00",418,26.9,36.7,36.7,11.3
"1756","03-15T04:00:00",401,26.8,36.2,36.2,11.2
"1757","03-15T05:00:00",416,26.7,35.9,35.9,11.3
"1758","03-15T06:00:00",394,26.5,35.7,35.7,11.4
"1759","03-15T07:00:00",395,26.7,36.3,36.3,11.7
"1760","03-15T08:00:00",381,27,38,38,12.7
"1761","03-15T09:00:00",380,26.8,39.8,39.8,13.1
"1762","03-15T10:00:00",372,26.9,41.6,41.6,13.6
"1763","03-15T11:00:00",357,27.1,43,43,13.9
"1764","03-15T12:00:00",366,27.1,44.2,44.2,14.4
"1765","03-15T13:00:00",353,27.3,44.9,44.9,14.9
"1766","03-15T14:00:00",359,27.3,45.3,45.3,15.1
"1767","03-15T15:00:00",375,27.4,45.3,45.3,15.2
"1768","03-15T16:00:00",393,27.3,44.8,44.8,15.5
"1769","03-15T17:00:00",392,27.4,43.8,43.8,15.3
"1770","03-15T18:00:00",383,27.4,42.3,42.3,14.7
"1771","03-15T19:00:00",373,27.5,41.5,41.5,14.2
"1772","03-15T20:00:00",372,27.7,40.9,40.9,13.7
"1773","03-15T21:00:00",401,27.7,40.2,40.2,13.2
"1774","03-15T22:00:00",401,27.5,39.6,39.6,12.8
"1775","03-15T23:00:00",409,27.5,39,39,12.6
"1776","03-16T00:00:00",416,27.4,38.3,38.3,12.3
"1777","03-16T01:00:00",401,27.1,37.9,37.9,11.9
"1778","03-16T02:00:00",387,26.9,37.3,37.3,11.6
"1779","03-16T03:00:00",412,26.8,36.9,36.9,11.4
"1780","03-16T04:00:00",390,26.7,36.4,36.4,11.3
"1781","03-16T05:00:00",404,26.6,36,36,11.3
"1782","03-16T06:00:00",380,26.5,35.8,35.8,11.4
"1783","03-16T07:00:00",376,26.7,36.4,36.4,11.8
"1784","03-16T08:00:00",366,26.9,38.2,38.2,12.8
"1785","03-16T09:00:00",360,26.7,40.1,40.1,13.2
"1786","03-16T10:00:00",352,26.7,41.8,41.8,13.7
"1787","03-16T11:00:00",351,26.9,43.2,43.2,14.1
"1788","03-16T12:00:00",357,27,44.5,44.5,14.5
"1789","03-16T13:00:00",355,27.2,45.2,45.2,15
"1790","03-16T14:00:00",361,27.2,45.5,45.5,15.1
"1791","03-16T15:00:00",360,27.3,45.6,45.6,15.3
"1792","03-16T16:00:00",376,27.3,45.1,45.1,15.5
"1793","03-16T17:00:00",374,27.3,44,44,15.3
"1794","03-16T18:00:00",371,27.4,42.5,42.5,14.7
"1795","03-16T19:00:00",360,27.5,41.7,41.7,14.1
"1796","03-16T20:00:00",364,27.7,41.1,41.1,13.6
"1797","03-16T21:00:00",384,27.8,40.4,40.4,13
"1798","03-16T22:00:00",384,27.6,39.8,39.8,12.7
"1799","03-16T23:00:00",396,27.5,39.2,39.2,12.5
"1800","03-17T00:00:00",404,27.4,38.5,38.5,12.2
"1801","03-17T01:00:00",394,27.2,38.1,38.1,11.7
"1802","03-17T02:00:00",371,27,37.5,37.5,11.5
"1803","03-17T03:00:00",393,26.9,37.1,37.1,11.2
"1804","03-17T04:00:00",374,26.9,36.6,36.6,11.1
"1805","03-17T05:00:00",385,26.7,36.2,36.2,11.1
"1806","03-17T06:00:00",369,26.6,36,36,11.3
"1807","03-17T07:00:00",364,26.9,36.7,36.7,11.6
"1808","03-17T08:00:00",353,27,38.6,38.6,12.7
"1809","03-17T09:00:00",347,26.8,40.4,40.4,13.1
"1810","03-17T10:00:00",341,26.9,42.2,42.2,13.6
"1811","03-17T11:00:00",344,27.1,43.7,43.7,14
"1812","03-17T12:00:00",354,27.2,44.9,44.9,14.5
"1813","03-17T13:00:00",359,27.4,45.6,45.6,14.9
"1814","03-17T14:00:00",363,27.4,45.9,45.9,15.1
"1815","03-17T15:00:00",358,27.4,46,46,15.3
"1816","03-17T16:00:00",381,27.4,45.4,45.4,15.5
"1817","03-17T17:00:00",369,27.6,44.4,44.4,15.2
"1818","03-17T18:00:00",362,27.7,42.9,42.9,14.6
"1819","03-17T19:00:00",349,27.9,42,42,14
"1820","03-17T20:00:00",364,28.1,41.4,41.4,13.3
"1821","03-17T21:00:00",383,28.1,40.8,40.8,12.8
"1822","03-17T22:00:00",372,27.9,40.1,40.1,12.4
"1823","03-17T23:00:00",386,27.8,39.6,39.6,12.3
"1824","03-18T00:00:00",397,27.8,38.8,38.8,11.8
"1825","03-18T01:00:00",381,27.5,38.4,38.4,11.4
"1826","03-18T02:00:00",365,27.3,37.7,37.7,11.2
"1827","03-18T03:00:00",382,27.2,37.3,37.3,10.9
"1828","03-18T04:00:00",367,27.2,36.8,36.8,10.9
"1829","03-18T05:00:00",383,27.1,36.4,36.4,10.8
"1830","03-18T06:00:00",369,27,36.2,36.2,11.1
"1831","03-18T07:00:00",368,27.3,37,37,11.5
"1832","03-18T08:00:00",353,27.4,39,39,12.6
"1833","03-18T09:00:00",342,27.2,40.8,40.8,13
"1834","03-18T10:00:00",336,27.3,42.6,42.6,13.5
"1835","03-18T11:00:00",346,27.5,44,44,13.9
"1836","03-18T12:00:00",365,27.6,45.2,45.2,14.3
"1837","03-18T13:00:00",353,27.8,46,46,14.8
"1838","03-18T14:00:00",365,27.9,46.3,46.3,15
"1839","03-18T15:00:00",356,27.9,46.3,46.3,15.3
"1840","03-18T16:00:00",388,28,45.7,45.7,15.4
"1841","03-18T17:00:00",371,28.1,44.7,44.7,15.2
"1842","03-18T18:00:00",366,28.2,43.2,43.2,14.6
"1843","03-18T19:00:00",351,28.4,42.3,42.3,14
"1844","03-18T20:00:00",366,28.7,41.7,41.7,13.4
"1845","03-18T21:00:00",392,28.7,41.1,41.1,12.8
"1846","03-18T22:00:00",380,28.5,40.5,40.5,12.4
"1847","03-18T23:00:00",390,28.4,39.9,39.9,12.2
"1848","03-19T00:00:00",401,28.5,39.2,39.2,11.7
"1849","03-19T01:00:00",384,28.1,38.8,38.8,11.4
"1850","03-19T02:00:00",370,27.9,38.2,38.2,11.1
"1851","03-19T03:00:00",388,27.8,37.7,37.7,10.9
"1852","03-19T04:00:00",371,27.8,37.3,37.3,10.9
"1853","03-19T05:00:00",383,27.7,36.9,36.9,10.9
"1854","03-19T06:00:00",381,27.5,36.7,36.7,11.1
"1855","03-19T07:00:00",376,27.8,37.5,37.5,11.5
"1856","03-19T08:00:00",357,27.8,39.4,39.4,12.6
"1857","03-19T09:00:00",344,27.6,41.2,41.2,13.1
"1858","03-19T10:00:00",337,27.6,43,43,13.5
"1859","03-19T11:00:00",347,27.8,44.4,44.4,13.8
"1860","03-19T12:00:00",361,27.9,45.6,45.6,14.2
"1861","03-19T13:00:00",354,28.1,46.4,46.4,14.8
"1862","03-19T14:00:00",361,28.1,46.7,46.7,15
"1863","03-19T15:00:00",351,28.2,46.7,46.7,15.4
"1864","03-19T16:00:00",385,28.3,46.2,46.2,15.5
"1865","03-19T17:00:00",368,28.4,45.1,45.1,15.1
"1866","03-19T18:00:00",359,28.5,43.7,43.7,14.6
"1867","03-19T19:00:00",349,28.7,42.8,42.8,13.9
"1868","03-19T20:00:00",364,29,42.2,42.2,13.3
"1869","03-19T21:00:00",383,29.1,41.6,41.6,12.7
"1870","03-19T22:00:00",373,29,40.9,40.9,12.3
"1871","03-19T23:00:00",386,28.9,40.3,40.3,12.1
"1872","03-20T00:00:00",401,29.1,39.7,39.7,11.5
"1873","03-20T01:00:00",386,28.5,39.2,39.2,11.3
"1874","03-20T02:00:00",370,28.3,38.5,38.5,11
"1875","03-20T03:00:00",384,28.2,38.1,38.1,10.8
"1876","03-20T04:00:00",365,28.2,37.6,37.6,10.7
"1877","03-20T05:00:00",379,28.1,37.2,37.2,10.7
"1878","03-20T06:00:00",372,27.9,37,37,10.9
"1879","03-20T07:00:00",366,28.2,38,38,11.4
"1880","03-20T08:00:00",348,28.2,39.9,39.9,12.4
"1881","03-20T09:00:00",335,28,41.8,41.8,12.9
"1882","03-20T10:00:00",333,28.1,43.6,43.6,13.4
"1883","03-20T11:00:00",347,28.2,45,45,13.7
"1884","03-20T12:00:00",352,28.5,46.3,46.3,14.1
"1885","03-20T13:00:00",349,28.6,47,47,14.8
"1886","03-20T14:00:00",359,28.7,47.3,47.3,15
"1887","03-20T15:00:00",355,28.8,47.3,47.3,15.2
"1888","03-20T16:00:00",390,28.9,46.8,46.8,15.4
"1889","03-20T17:00:00",371,29,45.7,45.7,15.1
"1890","03-20T18:00:00",366,29.1,44.2,44.2,14.5
"1891","03-20T19:00:00",358,29.3,43.3,43.3,13.8
"1892","03-20T20:00:00",355,29.5,42.7,42.7,13.3
"1893","03-20T21:00:00",380,29.6,42.1,42.1,12.7
"1894","03-20T22:00:00",370,29.5,41.4,41.4,12.2
"1895","03-20T23:00:00",378,29.4,40.8,40.8,12
"1896","03-21T00:00:00",400,29.7,40.3,40.3,11.5
"1897","03-21T01:00:00",393,29.1,39.7,39.7,11.1
"1898","03-21T02:00:00",372,28.9,39,39,10.9
"1899","03-21T03:00:00",392,28.8,38.6,38.6,10.7
"1900","03-21T04:00:00",363,28.8,38.1,38.1,10.6
"1901","03-21T05:00:00",372,28.6,37.7,37.7,10.6
"1902","03-21T06:00:00",367,28.4,37.5,37.5,10.9
"1903","03-21T07:00:00",368,28.7,38.5,38.5,11.3
"1904","03-21T08:00:00",352,28.7,40.4,40.4,12.4
"1905","03-21T09:00:00",337,28.5,42.4,42.4,12.9
"1906","03-21T10:00:00",337,28.6,44.2,44.2,13.3
"1907","03-21T11:00:00",348,28.7,45.6,45.6,13.7
"1908","03-21T12:00:00",348,28.8,46.8,46.8,14
"1909","03-21T13:00:00",340,29,47.5,47.5,14.8
"1910","03-21T14:00:00",350,29.1,47.8,47.8,14.9
"1911","03-21T15:00:00",351,29.2,47.8,47.8,15.3
"1912","03-21T16:00:00",381,29.4,47.2,47.2,15.4
"1913","03-21T17:00:00",362,29.5,46.1,46.1,15.1
"1914","03-21T18:00:00",362,29.5,44.6,44.6,14.6
"1915","03-21T19:00:00",351,29.7,43.6,43.6,13.9
"1916","03-21T20:00:00",357,29.9,43,43,13.4
"1917","03-21T21:00:00",376,30,42.4,42.4,12.7
"1918","03-21T22:00:00",365,29.9,41.7,41.7,12.3
"1919","03-21T23:00:00",380,29.8,41.1,41.1,12
"1920","03-22T00:00:00",398,30.1,40.6,40.6,11.5
"1921","03-22T01:00:00",395,29.5,40,40,11.1
"1922","03-22T02:00:00",377,29.4,39.3,39.3,10.9
"1923","03-22T03:00:00",384,29.2,39,39,10.8
"1924","03-22T04:00:00",366,29.2,38.5,38.5,10.7
"1925","03-22T05:00:00",375,29.1,38.1,38.1,10.6
"1926","03-22T06:00:00",366,28.9,37.9,37.9,10.8
"1927","03-22T07:00:00",372,29.2,39,39,11.3
"1928","03-22T08:00:00",357,29.2,40.9,40.9,12.3
"1929","03-22T09:00:00",344,29,42.9,42.9,12.9
"1930","03-22T10:00:00",342,29,44.7,44.7,13.3
"1931","03-22T11:00:00",354,29.1,46.1,46.1,13.7
"1932","03-22T12:00:00",355,29.3,47.3,47.3,14.1
"1933","03-22T13:00:00",353,29.5,48,48,14.8
"1934","03-22T14:00:00",365,29.5,48.3,48.3,15
"1935","03-22T15:00:00",366,29.6,48.2,48.2,15.2
"1936","03-22T16:00:00",388,29.8,47.7,47.7,15.3
"1937","03-22T17:00:00",364,30,46.6,46.6,15
"1938","03-22T18:00:00",358,30,45.1,45.1,14.5
"1939","03-22T19:00:00",353,30.2,44.1,44.1,13.8
"1940","03-22T20:00:00",353,30.4,43.5,43.5,13.3
"1941","03-22T21:00:00",365,30.4,42.8,42.8,12.5
"1942","03-22T22:00:00",363,30.3,42.1,42.1,12.2
"1943","03-22T23:00:00",374,30.2,41.5,41.5,12
"1944","03-23T00:00:00",394,30.6,41,41,11.4
"1945","03-23T01:00:00",389,29.8,40.3,40.3,11.1
"1946","03-23T02:00:00",373,29.6,39.7,39.7,10.9
"1947","03-23T03:00:00",383,29.5,39.3,39.3,10.9
"1948","03-23T04:00:00",362,29.5,38.8,38.8,10.7
"1949","03-23T05:00:00",374,29.4,38.5,38.5,10.6
"1950","03-23T06:00:00",363,29.2,38.3,38.3,10.8
"1951","03-23T07:00:00",379,29.5,39.3,39.3,11.4
"1952","03-23T08:00:00",368,29.4,41.3,41.3,12.5
"1953","03-23T09:00:00",355,29.3,43.2,43.2,13
"1954","03-23T10:00:00",353,29.2,45,45,13.3
"1955","03-23T11:00:00",367,29.4,46.4,46.4,13.7
"1956","03-23T12:00:00",364,29.6,47.6,47.6,14.1
"1957","03-23T13:00:00",362,29.8,48.3,48.3,14.8
"1958","03-23T14:00:00",373,29.8,48.5,48.5,15
"1959","03-23T15:00:00",374,30,48.5,48.5,15.2
"1960","03-23T16:00:00",397,30.3,47.9,47.9,15.3
"1961","03-23T17:00:00",368,30.4,46.8,46.8,14.9
"1962","03-23T18:00:00",365,30.4,45.4,45.4,14.5
"1963","03-23T19:00:00",365,30.6,44.4,44.4,13.7
"1964","03-23T20:00:00",368,30.7,43.8,43.8,13.2
"1965","03-23T21:00:00",377,30.8,43.1,43.1,12.4
"1966","03-23T22:00:00",371,30.6,42.4,42.4,12.1
"1967","03-23T23:00:00",386,30.6,41.8,41.8,11.8
"1968","03-24T00:00:00",405,31.2,41.3,41.3,11.3
"1969","03-24T01:00:00",405,30.3,40.6,40.6,11.1
"1970","03-24T02:00:00",389,30.2,40.1,40.1,10.9
"1971","03-24T03:00:00",398,30.1,39.7,39.7,10.9
"1972","03-24T04:00:00",378,30,39.2,39.2,10.8
"1973","03-24T05:00:00",390,29.9,38.8,38.8,10.6
"1974","03-24T06:00:00",381,29.8,38.6,38.6,10.8
"1975","03-24T07:00:00",392,30,39.8,39.8,11.4
"1976","03-24T08:00:00",375,30,41.7,41.7,12.4
"1977","03-24T09:00:00",366,29.8,43.6,43.6,12.9
"1978","03-24T10:00:00",360,29.8,45.4,45.4,13.2
"1979","03-24T11:00:00",371,29.9,46.8,46.8,13.7
"1980","03-24T12:00:00",365,30.1,48,48,14.1
"1981","03-24T13:00:00",371,30.4,48.7,48.7,14.8
"1982","03-24T14:00:00",379,30.4,48.9,48.9,14.9
"1983","03-24T15:00:00",380,30.6,48.8,48.8,15.2
"1984","03-24T16:00:00",401,30.9,48.3,48.3,15.2
"1985","03-24T17:00:00",374,31.1,47.2,47.2,14.9
"1986","03-24T18:00:00",369,31,45.8,45.8,14.4
"1987","03-24T19:00:00",366,31.2,44.8,44.8,13.6
"1988","03-24T20:00:00",372,31.3,44.2,44.2,13.1
"1989","03-24T21:00:00",386,31.3,43.5,43.5,12.3
"1990","03-24T22:00:00",380,31.2,42.8,42.8,12
"1991","03-24T23:00:00",396,31.2,42.2,42.2,11.7
"1992","03-25T00:00:00",410,31.7,41.7,41.7,11.2
"1993","03-25T01:00:00",418,30.9,41.1,41.1,11
"1994","03-25T02:00:00",400,30.8,40.5,40.5,10.9
"1995","03-25T03:00:00",405,30.6,40.1,40.1,10.9
"1996","03-25T04:00:00",385,30.6,39.6,39.6,10.8
"1997","03-25T05:00:00",387,30.4,39.3,39.3,10.5
"1998","03-25T06:00:00",386,30.3,39.1,39.1,10.8
"1999","03-25T07:00:00",393,30.6,40.3,40.3,11.5
"2000","03-25T08:00:00",391,30.5,42.2,42.2,12.4
"2001","03-25T09:00:00",383,30.4,44.1,44.1,12.9
"2002","03-25T10:00:00",369,30.4,45.8,45.8,13.2
"2003","03-25T11:00:00",380,30.5,47.2,47.2,13.7
"2004","03-25T12:00:00",377,30.7,48.3,48.3,14.2
"2005","03-25T13:00:00",386,30.9,49,49,14.9
"2006","03-25T14:00:00",397,30.9,49.3,49.3,15
"2007","03-25T15:00:00",396,31,49.2,49.2,15.3
"2008","03-25T16:00:00",416,31.4,48.7,48.7,15.2
"2009","03-25T17:00:00",386,31.6,47.6,47.6,14.9
"2010","03-25T18:00:00",374,31.5,46.2,46.2,14.3
"2011","03-25T19:00:00",369,31.7,45.2,45.2,13.6
"2012","03-25T20:00:00",374,31.8,44.6,44.6,13
"2013","03-25T21:00:00",384,31.9,43.9,43.9,12.2
"2014","03-25T22:00:00",389,31.8,43.3,43.3,11.9
"2015","03-25T23:00:00",400,31.7,42.7,42.7,11.6
"2016","03-26T00:00:00",409,32,42,42,11.1
"2017","03-26T01:00:00",426,31.5,41.6,41.6,10.9
"2018","03-26T02:00:00",402,31.4,41,41,10.8
